2L	1800000	2800000	721	391
2L	1700000	2700000	721	391
2L	16500000	17500000	508	40
2L	16500000	17500000	531	40
2L	16500000	17500000	45	40
2L	0	1000000	721	375
2L	0	1000000	142	176
2L	0	1000000	409	176
2L	16500000	17500000	908	57
2L	12900000	13900000	732	727
2L	0	1000000	158	332
2L	16500000	17500000	799	727
2L	7600000	8600000	908	727
2L	0	1000000	318	378
2L	7600000	8600000	392	332
2L	16500000	17500000	855	757
2L	12900000	13900000	318	378
2L	0	1000000	894	406
2L	0	1000000	313	406
2L	16500000	17500000	280	208
2L	7600000	8600000	318	378
2L	1700000	2700000	318	378
2L	7600000	8600000	380	208
2L	6700000	7700000	318	378
2L	0	1000000	907	737
2L	12900000	13900000	42	177
2L	12900000	13900000	509	177
2L	16500000	17500000	142	177
2L	12900000	13900000	228	177
2L	1800000	2800000	318	378
2L	7100000	8100000	908	727
2L	16500000	17500000	383	492
2L	12900000	13900000	383	492
2L	16500000	17500000	398	492
2L	7100000	8100000	392	332
2L	12900000	13900000	398	492
2L	7100000	8100000	399	332
2L	0	1000000	409	142
2L	0	1000000	639	892
2L	0	1000000	712	892
2L	0	1000000	796	892
2L	0	1000000	783	892
2L	16500000	17500000	399	392
2L	7600000	8600000	907	737
2L	7600000	8600000	732	737
2L	16500000	17500000	531	508
2L	0	1000000	595	359
2L	16500000	17500000	45	508
2L	1700000	2700000	907	737
2L	12900000	13900000	399	392
2L	0	1000000	309	513
2L	7600000	8600000	399	392
2L	0	1000000	398	383
2L	7100000	8100000	318	378
2L	1800000	2800000	907	737
2L	6700000	7700000	907	737
2L	16500000	17500000	861	370
2L	1800000	2800000	399	392
2L	7100000	8100000	380	208
2L	0	1000000	774	882
2L	0	1000000	642	855
2L	0	1000000	818	440
2L	6700000	7700000	399	392
2L	16500000	17500000	716	513
2L	7100000	8100000	93	406
2L	7100000	8100000	161	406
2L	16500000	17500000	398	383
2L	1800000	2800000	639	892
2L	1800000	2800000	712	892
2L	1800000	2800000	783	892
2L	0	1000000	712	639
2L	0	1000000	796	639
2L	0	1000000	783	639
2L	12900000	13900000	350	837
2L	7600000	8600000	358	837
2L	0	1000000	229	799
2L	0	1000000	732	705
2L	7600000	8600000	136	513
2L	7600000	8600000	149	513
2L	12900000	13900000	398	383
2L	0	1000000	859	776
2L	7100000	8100000	907	737
2L	0	1000000	591	776
2L	7100000	8100000	732	737
2L	1700000	2700000	639	892
2L	0	1000000	796	712
2L	1700000	2700000	712	892
2L	0	1000000	783	712
2L	1800000	2800000	26	359
2L	1700000	2700000	783	892
2L	7600000	8600000	398	383
2L	12900000	13900000	309	42
2L	12900000	13900000	228	42
2L	0	1000000	313	894
2L	1800000	2800000	398	383
2L	0	1000000	783	796
2L	12900000	13900000	362	555
2L	0	1000000	786	787
2L	7100000	8100000	399	392
2L	16500000	17500000	45	531
2L	16500000	17500000	73	790
2L	16500000	17500000	783	790
2L	16500000	17500000	589	790
2L	7600000	8600000	820	855
2L	1700000	2700000	398	383
2L	0	1000000	591	859
2L	12900000	13900000	774	765
2L	6700000	7700000	398	383
2L	16500000	17500000	535	712
2L	12900000	13900000	589	790
2L	7600000	8600000	732	907
2L	7600000	8600000	712	790
2L	1800000	2800000	642	855
2L	1800000	2800000	832	855
2L	7600000	8600000	362	790
2L	0	1000000	358	350
2L	12900000	13900000	367	21
2L	12900000	13900000	228	509
2L	16500000	17500000	810	761
2L	7600000	8600000	362	712
2L	1800000	2800000	712	639
2L	1800000	2800000	783	639
2L	1700000	2700000	45	707
2L	12900000	13900000	786	787
2L	7100000	8100000	398	383
2L	16500000	17500000	365	491
2L	1800000	2800000	732	705
2L	1700000	2700000	642	855
2L	1700000	2700000	832	855
2L	12900000	13900000	810	761
2L	12900000	13900000	437	761
2L	1800000	2800000	859	776
2L	1800000	2800000	591	776
2L	1800000	2800000	783	712
2L	7600000	8600000	786	787
2L	16500000	17500000	783	73
2L	12700000	13700000	732	727
2L	16500000	17500000	589	783
2L	7600000	8600000	161	93
2L	7600000	8600000	832	822
2L	6700000	7700000	712	790
2L	12700000	13700000	318	378
2L	1700000	2700000	712	639
2L	1700000	2700000	783	639
2L	16500000	17500000	229	217
2L	16500000	17500000	801	591
2L	12900000	13900000	437	810
2L	7600000	8600000	149	136
2L	7100000	8100000	427	440
2L	1700000	2700000	732	705
2L	12700000	13700000	509	177
2L	12900000	13900000	228	309
2L	16500000	17500000	358	350
2L	12700000	13700000	228	177
2L	6700000	7700000	591	776
2L	1700000	2700000	859	776
2L	1700000	2700000	591	776
2L	1700000	2700000	783	712
2L	12700000	13700000	383	492
2L	12900000	13900000	801	591
2L	12700000	13700000	398	492
2L	7600000	8600000	233	161
2L	3200000	4200000	721	391
2L	3200000	4200000	59	321
2L	7100000	8100000	732	907
2L	12700000	13700000	399	392
2L	12900000	13900000	358	350
2L	1800000	2800000	591	859
2L	7100000	8100000	712	790
2L	1800000	2800000	832	642
2L	7100000	8100000	591	776
2L	6700000	7700000	786	787
2L	9000000	10000000	356	391
2L	6700000	7700000	832	822
2L	1800000	2800000	358	350
2L	1700000	2700000	591	859
2L	7100000	8100000	786	787
2L	12700000	13700000	398	383
2L	1700000	2700000	832	642
2L	12700000	13700000	309	42
2L	11800000	12800000	732	727
2L	9000000	10000000	908	727
2L	7100000	8100000	161	93
2L	7100000	8100000	832	822
2L	3200000	4200000	318	378
2L	7100000	8100000	73	45
2L	9000000	10000000	318	378
2L	12700000	13700000	774	765
2L	9000000	10000000	820	208
2L	3200000	4200000	837	406
2L	12700000	13700000	721	83
2L	10200000	11200000	732	727
2L	1700000	2700000	358	350
2L	12700000	13700000	589	790
2L	11800000	12800000	59	378
2L	11800000	12800000	318	378
2L	1600000	2600000	721	391
2L	3200000	4200000	359	492
2L	3200000	4200000	26	492
2L	6700000	7700000	358	350
2L	3200000	4200000	233	492
2L	3200000	4200000	907	737
2L	12700000	13700000	367	21
2L	12700000	13700000	228	509
2L	9000000	10000000	907	737
2L	10200000	11200000	318	378
2L	12700000	13700000	786	787
2L	7100000	8100000	358	350
2L	12700000	13700000	810	761
2L	12700000	13700000	437	761
2L	20000000	21000000	508	40
2L	20000000	21000000	892	40
2L	20000000	21000000	732	375
2L	20000000	21000000	69	375
2L	20000000	21000000	129	375
2L	1600000	2600000	318	378
